customer_id,customer_name,email,region,city,signup_date
CUST000001,Allison Hill,ezamora@example.com,Southeast,Port Donna,2025-04-16
CUST000002,Noah Rhodes,selliott@example.org,Central-West,East Rachel,2026-03-29
CUST000003,Angie Henderson,henrymegan@example.net,Northeast,East Elizabeth,2026-03-18
CUST000004,Daniel Wagner,alexapadilla@example.net,South,East Tommy,2024-01-30
CUST000005,Cristian Santos,ewalsh@example.com,Southeast,Lake Ericatown,2026-01-15
CUST000006,Connie Lawrence,whitney79@example.net,Southeast,New Lindaville,2024-01-19
CUST000007,Abigail Shaffer,bakervictoria@example.com,Southeast,Rebeccatown,2023-11-26
CUST000008,Gina Moore,marcusanderson@example.org,North,West Allen,2025-08-23
CUST000009,Gabrielle Davis,patriciahudson@example.net,South,Lake Alexanderside,2025-11-11
CUST000010,Ryan Munoz,jennifer35@example.net,Northeast,Kimberlyside,2025-11-07
CUST000011,Monica Herrera,nicholsalyssa@example.net,Southeast,Wilsonberg,2024-03-13
CUST000012,Jamie Arnold,figueroadavid@example.com,Central-West,New Randy,2026-05-15
CUST000013,Lisa Hensley,tyler17@example.net,Northeast,Jenniferside,2025-04-21
CUST000014,Michele Williams,jordan59@example.net,Southeast,West Christopherbury,2024-06-26
CUST000015,Dylan Miller,carterlaura@example.net,Southeast,Dustinbury,2026-01-11
CUST000016,Brian Ramirez,xhurley@example.net,Southeast,Barbaraville,2023-08-26
CUST000017,Holly Wood,patty52@example.org,Southeast,Stephenstown,2024-04-29
CUST000018,Derek Zuniga,isaiahgonzales@example.org,South,Lake Jonathan,2025-07-08
CUST000019,Lisa Jackson,james24@example.org,Southeast,New Danielletown,2024-11-30
CUST000020,Carla Gray,sarahlowery@example.org,Southeast,West Matthewport,2024-10-05
CUST000021,Margaret Hawkins DDS,ortizbrent@example.net,South,Annettemouth,2023-08-08
CUST000022,Patty Perez,ddrake@example.net,Southeast,North Amberborough,2024-06-12
CUST000023,Ethan Adams,bradley90@example.org,Southeast,Katiechester,2024-07-29
CUST000024,Tommy Walter,garciamonica@example.net,Southeast,Mooreburgh,2024-02-26
CUST000025,Matthew Foster,alexanderrhodes@example.com,South,Martinezland,2024-11-06
CUST000026,Judy Baker,nicholsmichael@example.com,Northeast,Lake Cynthiashire,2026-05-23
CUST000027,Justin Baker,katherinemartinez@example.net,Southeast,West Adamport,2024-10-09
CUST000028,Stephanie Ross,ntaylor@example.net,South,North Larry,2024-08-21
CUST000029,Zachary Hicks,thomasparks@example.com,South,Lake Pamela,2025-02-18
CUST000030,Anthony Rodriguez,ralphhudson@example.com,Southeast,Kevinhaven,2024-08-24
CUST000031,Rebecca Henderson,hobbskelsey@example.net,South,Toddfurt,2023-12-10
CUST000032,James Ferrell,richardedwards@example.org,Southeast,Lake Robertbury,2026-02-07
CUST000033,Tricia Valencia,thomasrodriguez@example.com,Southeast,South Susanhaven,2024-07-06
CUST000034,Nathan Maldonado,daniel89@example.com,Central-West,Port Briantown,2024-11-28
CUST000035,Debra Davidson,prichardson@example.org,Central-West,East Jennifer,2023-09-19
CUST000036,Jeffrey Chavez,woodjennifer@example.net,Northeast,West Jennifer,2023-07-29
CUST000037,Sherri Baker,johnroberts@example.com,Southeast,Bellmouth,2024-06-15
CUST000038,Cassandra Gaines,zacharyhanson@example.net,Southeast,Lake Kathrynburgh,2023-09-02
CUST000039,Elizabeth Fowler,nperez@example.com,Northeast,Franklinfort,2025-09-19
CUST000040,Brittany Farmer,mcdowelljoseph@example.org,Southeast,Anthonyland,2026-04-14
CUST000041,Paula Moreno,bfischer@example.com,Southeast,West Gary,2024-02-29
CUST000042,Fred Smith,stacey78@example.com,South,West Lisaville,2025-12-11
CUST000043,Sherry Decker,brandon77@example.com,Southeast,Haroldshire,2025-06-08
CUST000044,Anthony Humphrey,rmarshall@example.com,North,South Roberttown,2026-05-26
CUST000045,Angelica Tucker,beckerkevin@example.org,Southeast,Johnsonland,2025-10-06
CUST000046,Philip Cannon,thomasmartin@example.com,Northeast,Jordanland,2024-11-13
CUST000047,John Pierce,millerangela@example.com,Southeast,Port Stephanie,2026-03-27
CUST000048,Shane Henderson,lisamcknight@example.net,South,Lake Erin,2025-12-25
CUST000049,Joshua Blair,linjohn@example.com,South,Thompsonton,2023-09-25
